sample_id	s__Akkermansia_muciniphila	s__Alistipes_finegoldii	s__Alistipes_onderdonkii	s__Alistipes_putredinis	s__Alistipes_unclassified	s__Anaerostipes_hadrus	s__Anaerostipes_unclassified	s__Bacteroides_caccae	s__Bacteroides_dorei	s__Bacteroides_fragilis	s__Bacteroides_ovatus	s__Bacteroides_stercoris	s__Bacteroides_thetaiotaomicron	s__Bacteroides_uniformis	s__Bacteroides_vulgatus	s__Bacteroides_xylanisolvens	s__Barnesiella_intestinihominis	s__Bifidobacterium_adolescentis	s__Bifidobacterium_animalis	s__Bifidobacterium_bifidum	s__Bifidobacterium_breve	s__Bifidobacterium_catenulatum	s__Bifidobacterium_dentium	s__Bifidobacterium_longum	s__Bifidobacterium_pseudocatenulatum	s__Citrobacter_freundii	s__Clostridium_bartlettii	s__Clostridium_bolteae	s__Clostridium_clostridioforme	s__Clostridium_hathewayi	s__Clostridium_leptum	s__Clostridium_nexile	s__Clostridium_ramosum	s__Clostridium_sp_KLE_1755	s__Clostridium_spiroforme	s__Clostridium_symbiosum	s__Collinsella_aerofaciens	s__Coprobacillus_unclassified	s__Coprococcus_comes	s__Dialister_invisus	s__Dorea_formicigenerans	s__Dorea_longicatena	s__Eggerthella_unclassified	s__Enterobacter_cloacae	s__Enterococcus_avium	s__Enterococcus_faecalis	s__Enterococcus_faecium	s__Escherichia_coli	s__Escherichia_unclassified	s__Eubacterium_eligens	s__Eubacterium_hallii	s__Eubacterium_ramulus	s__Eubacterium_rectale	s__Eubacterium_siraeum	s__Eubacterium_sp_3_1_31	s__Faecalibacterium_prausnitzii	s__Haemophilus_parainfluenzae	s__Klebsiella_oxytoca	s__Klebsiella_pneumoniae	s__Klebsiella_unclassified	s__Lachnospiraceae_bacterium_1_1_57FAA	s__Lachnospiraceae_bacterium_2_1_58FAA	s__Lachnospiraceae_bacterium_5_1_63FAA	s__Lactobacillus_casei_paracasei	s__Lactobacillus_rhamnosus	s__Lactococcus_phage_P680	s__Megasphaera_micronuciformis	s__Oscillibacter_unclassified	s__Parabacteroides_distasonis	s__Parabacteroides_merdae	s__Parabacteroides_unclassified	s__Peptostreptococcaceae_noname_unclassified	s__Prevotella_copri	s__Roseburia_hominis	s__Roseburia_intestinalis	s__Roseburia_inulinivorans	s__Roseburia_unclassified	s__Ruminococcus_bromii	s__Ruminococcus_callidus	s__Ruminococcus_gnavus	s__Ruminococcus_lactaris	s__Ruminococcus_obeum	s__Ruminococcus_sp_5_1_39BFAA	s__Ruminococcus_torques	s__Streptococcus_parasanguinis	s__Streptococcus_salivarius	s__Streptococcus_thermophilus	s__Subdoligranulum_sp_4_3_54A2FAA	s__Subdoligranulum_unclassified	s__Veillonella_atypica	s__Veillonella_parvula	s__Veillonella_unclassified
4079770	0.0011288	0.0003224	0.0029048	0	0.0006403	0.0001134	0	0	0.0246402	0.0016964	0.006399	0	0.0022443	0	0	0.0021328	0	0.392723	0	0	4.22E-05	0	0.0031408	0.278706	0	0	0.0029291	0.0003045	0	0.0001433	0	0.0001237	0.0004973	0	0	0	0	0.0020771	0	0.0024888	0	0	0.0125094	0	0	0	0	0.0001506	0.0003709	0.0097912	0.0198768	0	0	0	0.0023157	0.137112	0.0038424	0	0	0	0.0037957	3.46E-05	0.0172495	0	0	0.0112247	0.0001153	0	0	0	0	0	0	0	0.0087837	0	0.0020682	0	0	0.0084429	0.009833	0.0005211	0	0.0105498	0.0004721	0.0035806	0	0	0.0035484	7.95E-05	5.95E-05	0.0002695
1096721	0	0	0	0.0062296	0	0.0003769	0	0.0052181	0	0.0015986	0.0012268	0	0	0	0.0134822	0	0	0.036162	0	0.0001767	0.0017714	0	0	0.140965	0.0794259	0	0.0024432	2.48E-05	1.22E-05	0	0.0009792	0.0178945	0.0011907	0	0	8.11E-05	0	0.0024904	0	0	0	0	0.0016006	0	0	0	0	0.0085404	0	0.0015637	0	0	0.0698733	0	5.52E-05	0.0603282	0	0	0	0	0	0	0.00115	0	0	0	0	0	0	0	0	9.03E-05	0	0	0.0020826	0.0014048	0	0.4246	0	0.0228266	0	0.0028039	0.0398785	0.0224416	0	0.0006859	0	0	0.0065417	0	0	9.40E-06
2011052	0	0	2.52E-05	0	5.22E-05	0	0.000508	0	3.05E-05	0	0	0	0.0006171	0.0043113	8.91E-05	0	0.0003679	0	0	0.187104	0.0407807	0.0033681	0	0.0445361	0.0581754	0	0.0083374	0.0015971	0	0.0010978	0	0	0.004863	0	0	0	0.337263	0.0134533	0	0	0	0	0.0118842	0	5.89E-05	0	0	0	9.13E-05	0	0	0	0	0	0	0.0007817	0	0	0	0	0	0.0121828	0	0	0	0	0	0	0.0028601	0	0.0095542	0	0	0	0	0	0	0	0	0.0960915	0	0	0	0.124886	0.0017706	7.09E-05	0	0.0116753	0	0	0	0
2086403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.61E-05	0.0483602	0	0	0.716765	0	0.000945	0	0	0.0035159	0	0	0	5.15E-05	0	0	0	0	0.0035267	0	0	0	0	0.0040993	0	0	0.0032147	0	0.0067539	0	0	0	0	0	0	0	0.0002679	0	0	0	0	0	0.0029668	0	0.0333217	0.0034587	0	0	0	0.0621492	0	0	0	0	0	0	0	0	0	0	0.0280062	0	0	0	0.00597	0.0028287	0.0003915	0.0008653	0	0.0004331	0.0062209	0.0200018	0.0246874
7600980	0	0.0003224	0.0004547	0	7.38E-05	0.0051548	0	0	0.0021972	0.0007447	0.0022501	0	0	0	0	0	0	9.32E-05	0	0	0.0005802	0.0385847	0	0.206832	0.14522	0	0.0038262	0	0	0	0.0029966	0.0046315	4.44E-05	0	0	0	0.0057255	0.0002155	0	0	0.0026056	0.0201369	0.0015961	0	0	0	0	0	0	0.000472	0.0187343	0.0022962	0.0203181	0.00055	0.0003442	0.047292	0.000404	0	0	0	0	0	0.0096635	0	0.003114	0	0	0	0.001194	0	0.0018867	0.0035999	0	0.0009537	0.0011516	0.0009718	0	0.346066	0.0119025	0.007447	0.009202	0.0013736	0.0130203	0.0047839	0.0014047	0.0057465	0.0195993	0	0.0141042	0	0	0.0001829
3074739	0	0.0001903	0.0003639	0.0420992	0	0.0004272	0	0.092843	0.0133827	0.0209292	0.0361535	0.0088334	7.70E-06	0.224152	0.0754282	0.0076025	0.0025949	0	0	4.60E-05	0.0033266	0	2.66E-05	0.0841755	0.0258509	0	0	0.0007268	0	8.72E-05	0.0001196	0	0	0	0	0.0011939	0.0001044	0.0002179	0	0	0.0005752	0	0.0004314	0	0	0	0	0.0015293	0	0.0451536	0.0007713	0	0.0261165	0	0	0.0549337	0.0018599	0	0	0	0	0	0.0003721	0	0	0	0	0.0053928	0.0012807	0.0050056	0.0043103	0	0	0	0.000769	0.0099257	0	0.0141393	8.94E-05	0.0066142	0.0171729	0	0.0141268	0.0233028	0	0	0.0011014	0	0.0246717	0	0.0007979	0.0005386
9711831	0.171704	0.0197186	0.03894	0.0633354	0	5.77E-05	0	0	0.0246736	0.0006221	0.0380212	0	0.0299316	0.0502645	0.0429803	0	0	0.0035767	0	0.0002107	6.74E-05	0	0	0.0159964	0.0021948	0	0.0004686	0.0042825	0.0010666	0.0007943	0.0026242	0.001443	2.32E-05	0	0	0.0011757	0.0024424	0.0002128	0.0019797	0.245805	0.0014091	0	0.0007894	0	0	0	0	0.0030051	0	0.009678	0.0009866	0.0014411	0.0006669	0	0	0.0451319	5.49E-05	0	0	0	0	0	9.70E-05	0	0	0.0027319	0	0.0145513	0	0	0	0	0.0747395	2.47E-05	0	0	0.0008819	0.0001795	0.0018492	0.0010367	0.0073986	0	0	0.0049796	0	0	0	0	0.0203428	0	0.0002589	0.004024
7250146	0.302796	0.0018999	0.0584247	0	0	0.0004438	0	0	0	2.50E-05	7.94E-05	0.0195973	0	0.11887	0.0524182	0	0	0	0	5.05E-05	3.37E-05	0	0	0.120215	0	0	0	0	1.57E-05	0.0003426	0	0.0008595	7.29E-05	0	0	0	0.0028169	0.0008993	0	0	0	0	0.0006572	0	0	0	0	0.0046123	0	0	0.0001219	0	0	0	0	0.129009	0.001045	0	0	0.0001061	0	0	0.0006418	0	0	0	0.0117523	0.003603	0	0	0	0	0	0	0	0	0	0	0	0.0041248	0	0	0	0.0018317	0	0.0002598	0	0	0.0144413	0	0.10903	0.0215878
3222763	0.0427466	0	2.50E-06	0	1.63E-05	0	0.0002751	0.0034239	0.0004071	0	0.0028872	0	0.0002747	0.0013732	0	0.0001584	0	0	0	0	0.0113628	0	0	0.881807	0	0	0	8.20E-06	0.0001039	5.02E-05	0	0	0.0075987	0	0	0	0	0.025296	0	0	0	0	0.0050385	0	0	0	0	0.0024754	0.000283	0	0	0	0	0	0	0	0	0	0	0	0	9.12E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23E-05	0	0.0011075	0	0	0	0.0002049	0	0	0.0004979	0	0.0028434	0	0	0
1093336	0	0	0	0	0	9.50E-06	0	0	0	9.01E-05	0	0	0	2.19E-05	0	0	0	0	0.0014937	0.004633	0	0	0.0351252	0.0042829	0.0056552	0	0.0028434	0.0010212	0.0001547	0.0001233	0	0.0343676	0.0014698	0	0	0	0	0.0093956	0	0.0011572	0	0	0.0046796	0	8.50E-06	0.0001909	0	0.0018591	0.0005854	0	0	0	0	0	0	0.2841	2.21E-05	0	0	0.000133	0	0	0.0013271	0	0	0	0	0	3.39E-05	0	0.0053437	0.0077332	0	4.05E-05	0.0060224	0	0	0.213039	0	0.0841318	0	1.07E-05	0	0.0072551	1.98E-05	0.0001861	0	0	0.27319	0	0.0001635	0.0005588
